freq,unit,coicop,geo,period,value
M,I15,CP00,DE,1996-01,75.1
M,I15,CP00,DE,1996-02,75.6
M,I15,CP00,DE,1996-03,75.7
M,I15,CP00,DE,1996-04,75.6
M,I15,CP00,DE,1996-05,75.7
M,I15,CP00,DE,1996-06,75.8
M,I15,CP00,DE,1996-07,76.0
M,I15,CP00,DE,1996-08,75.9
M,I15,CP00,DE,1996-09,75.9
M,I15,CP00,DE,1996-10,75.8
M,I15,CP00,DE,1996-11,75.7
M,I15,CP00,DE,1996-12,76.0
M,I15,CP00,DE,1997-01,76.5
M,I15,CP00,DE,1997-02,76.8
M,I15,CP00,DE,1997-03,76.7
M,I15,CP00,DE,1997-04,76.5
M,I15,CP00,DE,1997-05,76.8
M,I15,CP00,DE,1997-06,76.9
M,I15,CP00,DE,1997-07,77.2
M,I15,CP00,DE,1997-08,77.2
M,I15,CP00,DE,1997-09,77.0
M,I15,CP00,DE,1997-10,76.9
M,I15,CP00,DE,1997-11,76.9
M,I15,CP00,DE,1997-12,77.1
M,I15,CP00,DE,1998-01,77.0
M,I15,CP00,DE,1998-02,77.2
M,I15,CP00,DE,1998-03,77.1
M,I15,CP00,DE,1998-04,77.2
M,I15,CP00,DE,1998-05,77.5
M,I15,CP00,DE,1998-06,77.5
M,I15,CP00,DE,1998-07,77.8
M,I15,CP00,DE,1998-08,77.7
M,I15,CP00,DE,1998-09,77.4
M,I15,CP00,DE,1998-10,77.2
M,I15,CP00,DE,1998-11,77.2
M,I15,CP00,DE,1998-12,77.2
M,I15,CP00,DE,1999-01,77.2
M,I15,CP00,DE,1999-02,77.3
M,I15,CP00,DE,1999-03,77.5
M,I15,CP00,DE,1999-04,77.8
M,I15,CP00,DE,1999-05,77.8
M,I15,CP00,DE,1999-06,77.8
M,I15,CP00,DE,1999-07,78.2
M,I15,CP00,DE,1999-08,78.2
M,I15,CP00,DE,1999-09,78.0
M,I15,CP00,DE,1999-10,77.9
M,I15,CP00,DE,1999-11,78.0
M,I15,CP00,DE,1999-12,78.3
M,I15,CP00,DE,2000-01,78.5
M,I15,CP00,DE,2000-02,78.6
M,I15,CP00,DE,2000-03,78.6
M,I15,CP00,DE,2000-04,78.6
M,I15,CP00,DE,2000-05,78.4
M,I15,CP00,DE,2000-06,78.9
M,I15,CP00,DE,2000-07,79.2
M,I15,CP00,DE,2000-08,79.0
M,I15,CP00,DE,2000-09,79.2
M,I15,CP00,DE,2000-10,79.1
M,I15,CP00,DE,2000-11,79.1
M,I15,CP00,DE,2000-12,80.0
M,I15,CP00,DE,2001-01,79.5
M,I15,CP00,DE,2001-02,80.0
M,I15,CP00,DE,2001-03,80.0
M,I15,CP00,DE,2001-04,80.3
M,I15,CP00,DE,2001-05,80.7
M,I15,CP00,DE,2001-06,80.8
M,I15,CP00,DE,2001-07,80.9
M,I15,CP00,DE,2001-08,80.7
M,I15,CP00,DE,2001-09,80.6
M,I15,CP00,DE,2001-10,80.4
M,I15,CP00,DE,2001-11,80.2
M,I15,CP00,DE,2001-12,81.1
M,I15,CP00,DE,2002-01,81.1
M,I15,CP00,DE,2002-02,81.4
M,I15,CP00,DE,2002-03,81.5
M,I15,CP00,DE,2002-04,81.5
M,I15,CP00,DE,2002-05,81.6
M,I15,CP00,DE,2002-06,81.5
M,I15,CP00,DE,2002-07,81.8
M,I15,CP00,DE,2002-08,81.6
M,I15,CP00,DE,2002-09,81.5
M,I15,CP00,DE,2002-10,81.4
M,I15,CP00,DE,2002-11,81.1
M,I15,CP00,DE,2002-12,82.0
M,I15,CP00,DE,2003-01,82.0
M,I15,CP00,DE,2003-02,82.4
M,I15,CP00,DE,2003-03,82.5
M,I15,CP00,DE,2003-04,82.3
M,I15,CP00,DE,2003-05,82.1
M,I15,CP00,DE,2003-06,82.3
M,I15,CP00,DE,2003-07,82.5
M,I15,CP00,DE,2003-08,82.5
M,I15,CP00,DE,2003-09,82.4
M,I15,CP00,DE,2003-10,82.4
M,I15,CP00,DE,2003-11,82.2
M,I15,CP00,DE,2003-12,82.9
M,I15,CP00,DE,2004-01,82.9
M,I15,CP00,DE,2004-02,83.1
M,I15,CP00,DE,2004-03,83.4
M,I15,CP00,DE,2004-04,83.7
M,I15,CP00,DE,2004-05,83.9
M,I15,CP00,DE,2004-06,83.9
M,I15,CP00,DE,2004-07,84.1
M,I15,CP00,DE,2004-08,84.3
M,I15,CP00,DE,2004-09,84.0
M,I15,CP00,DE,2004-10,84.2
M,I15,CP00,DE,2004-11,83.8
M,I15,CP00,DE,2004-12,84.8
M,I15,CP00,DE,2005-01,84.3
M,I15,CP00,DE,2005-02,84.6
M,I15,CP00,DE,2005-03,84.9
M,I15,CP00,DE,2005-04,84.9
M,I15,CP00,DE,2005-05,85.2
M,I15,CP00,DE,2005-06,85.3
M,I15,CP00,DE,2005-07,85.7
M,I15,CP00,DE,2005-08,85.9
M,I15,CP00,DE,2005-09,86.2
M,I15,CP00,DE,2005-10,86.2
M,I15,CP00,DE,2005-11,85.7
M,I15,CP00,DE,2005-12,86.6
M,I15,CP00,DE,2006-01,86.1
M,I15,CP00,DE,2006-02,86.4
M,I15,CP00,DE,2006-03,86.5
M,I15,CP00,DE,2006-04,86.8
M,I15,CP00,DE,2006-05,87.0
M,I15,CP00,DE,2006-06,87.1
M,I15,CP00,DE,2006-07,87.5
M,I15,CP00,DE,2006-08,87.4
M,I15,CP00,DE,2006-09,87.0
M,I15,CP00,DE,2006-10,87.1
M,I15,CP00,DE,2006-11,87.0
M,I15,CP00,DE,2006-12,87.8
M,I15,CP00,DE,2007-01,87.6
M,I15,CP00,DE,2007-02,88.0
M,I15,CP00,DE,2007-03,88.2
M,I15,CP00,DE,2007-04,88.6
M,I15,CP00,DE,2007-05,88.7
M,I15,CP00,DE,2007-06,88.8
M,I15,CP00,DE,2007-07,89.3
M,I15,CP00,DE,2007-08,89.1
M,I15,CP00,DE,2007-09,89.3
M,I15,CP00,DE,2007-10,89.4
M,I15,CP00,DE,2007-11,89.9
M,I15,CP00,DE,2007-12,90.5
M,I15,CP00,DE,2008-01,90.2
M,I15,CP00,DE,2008-02,90.6
M,I15,CP00,DE,2008-03,91.1
M,I15,CP00,DE,2008-04,90.9
M,I15,CP00,DE,2008-05,91.5
M,I15,CP00,DE,2008-06,91.8
M,I15,CP00,DE,2008-07,92.3
M,I15,CP00,DE,2008-08,92.0
M,I15,CP00,DE,2008-09,92.0
M,I15,CP00,DE,2008-10,91.7
M,I15,CP00,DE,2008-11,91.2
M,I15,CP00,DE,2008-12,91.5
M,I15,CP00,DE,2009-01,91.1
M,I15,CP00,DE,2009-02,91.6
M,I15,CP00,DE,2009-03,91.4
M,I15,CP00,DE,2009-04,91.5
M,I15,CP00,DE,2009-05,91.4
M,I15,CP00,DE,2009-06,91.8
M,I15,CP00,DE,2009-07,91.7
M,I15,CP00,DE,2009-08,92.0
M,I15,CP00,DE,2009-09,91.6
M,I15,CP00,DE,2009-10,91.6
M,I15,CP00,DE,2009-11,91.5
M,I15,CP00,DE,2009-12,92.3
M,I15,CP00,DE,2010-01,91.7
M,I15,CP00,DE,2010-02,92.0
M,I15,CP00,DE,2010-03,92.5
M,I15,CP00,DE,2010-04,92.4
M,I15,CP00,DE,2010-05,92.5
M,I15,CP00,DE,2010-06,92.6
M,I15,CP00,DE,2010-07,92.8
M,I15,CP00,DE,2010-08,92.9
M,I15,CP00,DE,2010-09,92.7
M,I15,CP00,DE,2010-10,92.8
M,I15,CP00,DE,2010-11,92.9
M,I15,CP00,DE,2010-12,94.0
M,I15,CP00,DE,2011-01,93.5
M,I15,CP00,DE,2011-02,94.1
M,I15,CP00,DE,2011-03,94.7
M,I15,CP00,DE,2011-04,94.9
M,I15,CP00,DE,2011-05,94.8
M,I15,CP00,DE,2011-06,94.8
M,I15,CP00,DE,2011-07,95.2
