coicop,geo,year,weight
CP00,DE,1996,1000.0
CP00,DE,1997,1000.0
CP00,DE,1998,1000.0
CP00,DE,1999,1000.0
CP00,DE,2000,1000.0
CP00,DE,2001,1000.0
CP00,DE,2002,1000.0
CP00,DE,2003,1000.0
CP00,DE,2004,1000.0
CP00,DE,2005,1000.0
CP00,DE,2006,1000.0
CP00,DE,2007,1000.0
CP00,DE,2008,1000.0
CP00,DE,2009,1000.0
CP00,DE,2010,1000.0
CP00,DE,2011,1000.0
CP00,DE,2012,1000.0
CP00,DE,2013,1000.0
CP00,DE,2014,1000.0
CP00,DE,2015,1000.0
CP00,DE,2016,1000.0
CP00,DE,2017,1000.0
CP00,DE,2018,1000.0
CP00,DE,2019,1000.0
CP00,DE,2020,1000.0
CP00,DE,2021,1000.0
CP00,DE,2022,1000.0
CP00,DE,2023,1000.0
CP00,DE,2024,1000.0
CP00,DE,2025,1000.0
CP00,DE,2026,1000.0
CP01,DE,1996,153.47
CP01,DE,1997,151.24
CP01,DE,1998,153.42
CP01,DE,1999,152.7
CP01,DE,2000,120.13
CP01,DE,2001,117.53
CP01,DE,2002,121.09
CP01,DE,2003,118.38
CP01,DE,2004,118.65
CP01,DE,2005,115.51
CP01,DE,2006,113.97
CP01,DE,2007,115.22
CP01,DE,2008,120.88
CP01,DE,2009,123.21
CP01,DE,2010,118.83
CP01,DE,2011,121.0
CP01,DE,2012,117.25
CP01,DE,2013,120.89
CP01,DE,2014,123.49
CP01,DE,2015,117.67
CP01,DE,2016,117.93
CP01,DE,2017,122.12
CP01,DE,2018,125.05
CP01,DE,2019,111.61
CP01,DE,2020,113.42
CP01,DE,2021,127.93
CP01,DE,2022,126.58
CP01,DE,2023,131.86
CP01,DE,2024,129.02
CP01,DE,2025,130.88
CP01,DE,2026,130.02
CP02,DE,1996,48.76
CP02,DE,1997,49.36
CP02,DE,1998,48.84
CP02,DE,1999,50.07
CP02,DE,2000,42.9
CP02,DE,2001,41.87
CP02,DE,2002,41.73
CP02,DE,2003,43.0
CP02,DE,2004,44.7
CP02,DE,2005,49.97
CP02,DE,2006,50.73
CP02,DE,2007,51.97
CP02,DE,2008,44.76
CP02,DE,2009,45.05
CP02,DE,2010,45.93
CP02,DE,2011,45.14
CP02,DE,2012,39.04
CP02,DE,2013,43.74
CP02,DE,2014,44.47
CP02,DE,2015,43.74
CP02,DE,2016,44.1
CP02,DE,2017,43.31
CP02,DE,2018,43.08
CP02,DE,2019,41.96
CP02,DE,2020,42.06
CP02,DE,2021,46.12
CP02,DE,2022,44.96
CP02,DE,2023,34.76
CP02,DE,2024,33.0
CP02,DE,2025,34.82
CP02,DE,2026,33.26
CP03,DE,1996,79.79
CP03,DE,1997,79.77
CP03,DE,1998,78.82
CP03,DE,1999,79.18
CP03,DE,2000,64.1
CP03,DE,2001,62.05
CP03,DE,2002,62.0
CP03,DE,2003,60.96
CP03,DE,2004,60.03
CP03,DE,2005,58.31
CP03,DE,2006,55.99
CP03,DE,2007,55.41
CP03,DE,2008,52.66
CP03,DE,2009,52.92
CP03,DE,2010,53.39
CP03,DE,2011,52.64
CP03,DE,2012,54.25
CP03,DE,2013,51.26
CP03,DE,2014,50.81
CP03,DE,2015,52.76
CP03,DE,2016,51.88
CP03,DE,2017,51.65
CP03,DE,2018,47.75
CP03,DE,2019,53.96
CP03,DE,2020,51.28
CP03,DE,2021,43.72
CP03,DE,2022,43.06
CP03,DE,2023,47.7
CP03,DE,2024,45.2
CP03,DE,2025,37.6
CP03,DE,2026,40.78
CP04,DE,1996,216.36
CP04,DE,1997,218.34
CP04,DE,1998,219.17
CP04,DE,1999,218.76
CP04,DE,2000,225.79
CP04,DE,2001,227.66
CP04,DE,2002,226.75
CP04,DE,2003,226.75
CP04,DE,2004,228.27
CP04,DE,2005,228.63
CP04,DE,2006,234.31
CP04,DE,2007,236.75
CP04,DE,2008,236.29
CP04,DE,2009,241.1
CP04,DE,2010,235.67
CP04,DE,2011,238.16
CP04,DE,2012,244.25
CP04,DE,2013,228.04
CP04,DE,2014,226.33
CP04,DE,2015,227.23
CP04,DE,2016,217.81
CP04,DE,2017,212.98
CP04,DE,2018,211.47
CP04,DE,2019,240.4
CP04,DE,2020,236.43
CP04,DE,2021,256.74
CP04,DE,2022,255.83
